week,positivity
5,0.657894737
6,0.583090379
7,0.033112583
8,0.120336943
9,0.697584291
10,4.123125852
11,10.7960369
12,21.58498791
13,39.51002879
14,45.10753353
15,40.74850299
16,31.49299584
17,22.12635965
18,10.07467035
19,7.50958985
20,5.74481222
21,4.500936195
22,3.190412402
23,2.229269744
24,1.76871871
25,1.402257768
26,1.013036248
27,0.763954491
28,0.696373158
29,0.531823907
30,0.580483844
31,0.462235153
32,0.487790122
33,0.458818523
34,0.442338322
35,0.63446389
36,0.786548747
37,1.479543146
38,2.214723323
39,2.705067722
